model_field,grp,grp_interm
review_score,Public Records,Social Reviews
review_cnt,Public Records,Social Reviews
location_cnt,Company Profile,Credit Bureau
location_active_cnt,Company Profile,Credit Bureau
location_inactive_cnt,Company Profile,Credit Bureau
location_inactiveold_cnt,Company Profile,Credit Bureau
location_inactivedt_cnt,Company Profile,Credit Bureau
location_latitude_avg,Company Profile,Credit Bureau
location_longitude_avg,Company Profile,Credit Bureau
location_soho_cnt,Company Profile,Credit Bureau
location_biz_cnt,Company Profile,Credit Bureau
location_res_cnt,Company Profile,Credit Bureau
location_small_cnt,Company Profile,Credit Bureau
location_large_cnt,Company Profile,Credit Bureau
location_unknown_size_cnt,Company Profile,Credit Bureau
location_gov_cnt,Company Profile,Credit Bureau
location_fedgov_cnt,Company Profile,Credit Bureau
location_nonprofitind_cnt,Company Profile,Credit Bureau
location_edu_cnt,Company Profile,Credit Bureau
location_indsole_cnt,Company Profile,Credit Bureau
location_partner_cnt,Company Profile,Credit Bureau
location_limpartner_cnt,Company Profile,Credit Bureau
location_corp_cnt,Company Profile,Credit Bureau
location_scorp_cnt,Company Profile,Credit Bureau
location_llc_cnt,Company Profile,Credit Bureau
location_llp_cnt,Company Profile,Credit Bureau
location_other_cnt,Company Profile,Credit Bureau
location_ccorp_cnt,Company Profile,Credit Bureau
location_nonprofitstat_cnt,Company Profile,Credit Bureau
location_mutual_cnt,Company Profile,Credit Bureau
location_trust_cnt,Company Profile,Credit Bureau
location_lllp_cnt,Company Profile,Credit Bureau
bankrupt_cnt_failrt,Public Records,Bankruptcies
bankrupt_cnt_credcls,Public Records,Bankruptcies
bankrupt_cnt_field,Public Records,Bankruptcies
corpemployees,Company Profile,Credit Bureau
corpamount,Company Profile,Credit Bureau
creditscore_avg,Company Profile,Credit Bureau
creditscore_max,Company Profile,Credit Bureau
creditscore_min,Company Profile,Credit Bureau
creditperc_avg,Company Profile,Credit Bureau
creditperc_max,Company Profile,Credit Bureau
creditperc_min,Company Profile,Credit Bureau
mkt_telscore_avg,Company Profile,Credit Bureau
mkt_telscore_max,Company Profile,Credit Bureau
mkt_telscore_min,Company Profile,Credit Bureau
mkt_totalscore_avg,Company Profile,Credit Bureau
mkt_totalscore_max,Company Profile,Credit Bureau
mkt_totalscore_min,Company Profile,Credit Bureau
months_since_update,Company Profile,Credit Bureau
legname_occ,Company Profile,Credit Bureau
afflname_occ,Company Profile,Credit Bureau
gdp_pch,Financial Trends,Economics
gdp_pc1,Financial Trends,Economics
t10y2y,Financial Trends,Economics
t10y2y_chg,Financial Trends,Economics
t10y2y_ch1,Financial Trends,Economics
t10y,Financial Trends,Economics
t10y_chg,Financial Trends,Economics
t10y_ch1,Financial Trends,Economics
t2y,Financial Trends,Economics
t2y_chg,Financial Trends,Economics
t2y_ch1,Financial Trends,Economics
brent_pch,Financial Trends,Economics
brent_pc1,Financial Trends,Economics
wtispot_pch,Financial Trends,Economics
wtispot_pc1,Financial Trends,Economics
vix,Financial Trends,Economics
vix_chg,Financial Trends,Economics
vix_ch1,Financial Trends,Economics
csentiment,Financial Trends,Economics
csentiment_chg_x,Financial Trends,Economics
csentiment_chg_y,Financial Trends,Economics
dolindx,Financial Trends,Economics
dolindx_chg,Financial Trends,Economics
dolindx_ch1,Financial Trends,Economics
unemp,Financial Trends,Economics
unemp_chg,Financial Trends,Economics
unemp_ch1,Financial Trends,Economics
cpi,Financial Trends,Economics
cpi_chg,Financial Trends,Economics
cpi_ch1,Financial Trends,Economics
cpicore,Financial Trends,Economics
cpicore_chg,Financial Trends,Economics
cpicore_ch1,Financial Trends,Economics
ccdelinq,Financial Trends,Economics
ccdelinq_chg,Financial Trends,Economics
ccdelinq_ch1,Financial Trends,Economics
cloandelinq,Financial Trends,Economics
cloandelinq_chg,Financial Trends,Economics
cloandelinq_ch1,Financial Trends,Economics
busloandelinq,Financial Trends,Economics
busloandelinq_chg,Financial Trends,Economics
busloandelinq_ch1,Financial Trends,Economics
wagegrowth,Financial Trends,Economics
wagegrowth_chg,Financial Trends,Economics
usdeur,Financial Trends,Economics
usdeur_chg,Financial Trends,Economics
usdeur_ch1,Financial Trends,Economics
usdpeso,Financial Trends,Economics
usdpeso_chg,Financial Trends,Economics
usdpeso_ch1,Financial Trends,Economics
usdcan,Financial Trends,Economics
usdcan_chg,Financial Trends,Economics
usdcan_ch1,Financial Trends,Economics
ppi_chg,Financial Trends,Economics
ppi_ch1,Financial Trends,Economics
min_age,Company Profile,Credit Bureau
max_age,Company Profile,Credit Bureau
legultstateall,Company Profile,Credit Bureau
corpamount_type,Company Profile,Credit Bureau
corpamount_prec,Company Profile,Credit Bureau
failrate_avg,Company Profile,Credit Bureau
primsic,Company Profile,Credit Bureau
secsic1,Company Profile,Credit Bureau
secsic2,Company Profile,Credit Bureau
secsic3,Company Profile,Credit Bureau
secsic4,Company Profile,Credit Bureau
primnaicscode,Company Profile,Credit Bureau
secnaics1,Company Profile,Credit Bureau
secnaics2,Company Profile,Credit Bureau
secnaics3,Company Profile,Credit Bureau
secnaics4,Company Profile,Credit Bureau
